,location,bhk,total_area,bath,balcony,price,price_per_sqft
157,7th Phase JP Nagar,3,1370.0,2.0,1.0,273950.0,199.96350364963504
158,7th Phase JP Nagar,3,1300.0,2.0,2.0,260000.0,200.0
159,7th Phase JP Nagar,3,1575.0,2.0,2.0,600000.0,380.95238095238096
160,7th Phase JP Nagar,3,1850.0,3.0,2.0,750000.0,405.4054054054054
161,7th Phase JP Nagar,3,1680.0,3.0,2.0,600000.0,357.14285714285717
162,7th Phase JP Nagar,2,1175.0,2.0,2.0,412500.0,351.06382978723406
163,7th Phase JP Nagar,3,3300.0,4.0,3.0,800000.0,242.42424242424244
164,7th Phase JP Nagar,3,2200.0,4.0,2.0,525000.0,238.63636363636363
165,7th Phase JP Nagar,2,1215.0,2.0,2.0,450000.0,370.3703703703704
166,7th Phase JP Nagar,2,1050.0,2.0,1.0,375000.0,357.14285714285717
167,7th Phase JP Nagar,3,1300.0,3.0,2.0,445650.0,342.8076923076923
168,7th Phase JP Nagar,2,1130.0,2.0,2.0,365000.0,323.0088495575221
169,7th Phase JP Nagar,3,1450.0,3.0,2.0,500000.0,344.82758620689657
170,7th Phase JP Nagar,3,1350.0,3.0,2.0,290000.0,214.8148148148148
171,7th Phase JP Nagar,2,1050.0,2.0,1.0,250000.0,238.0952380952381
172,7th Phase JP Nagar,2,1275.0,2.0,1.0,435000.0,341.1764705882353
173,7th Phase JP Nagar,3,1460.0,3.0,1.0,350000.0,239.72602739726028
174,7th Phase JP Nagar,3,1650.0,3.0,2.0,550000.0,333.3333333333333
175,7th Phase JP Nagar,2,850.0,2.0,2.0,210000.0,247.05882352941177
176,7th Phase JP Nagar,3,1680.0,3.0,2.0,585000.0,348.2142857142857
177,7th Phase JP Nagar,3,1850.0,3.0,1.0,750000.0,405.4054054054054
178,7th Phase JP Nagar,2,1236.0,2.0,2.0,306650.0,248.09870550161813
179,7th Phase JP Nagar,2,1000.0,2.0,2.0,265000.0,265.0
180,7th Phase JP Nagar,3,1680.0,3.0,2.0,625000.0,372.0238095238095
181,7th Phase JP Nagar,3,1675.0,2.0,2.0,675000.0,402.9850746268657
182,7th Phase JP Nagar,2,1187.0,2.0,1.0,295000.0,248.5256950294861
183,7th Phase JP Nagar,3,1850.0,3.0,2.0,775000.0,418.9189189189189
184,7th Phase JP Nagar,2,1000.0,2.0,1.0,305000.0,305.0
185,7th Phase JP Nagar,3,1460.0,2.0,2.0,500000.0,342.4657534246575
186,7th Phase JP Nagar,3,1650.0,3.0,3.0,550000.0,333.3333333333333
187,7th Phase JP Nagar,2,1200.0,2.0,2.0,312500.0,260.4166666666667
188,7th Phase JP Nagar,2,1000.0,2.0,1.0,353250.0,353.25
189,7th Phase JP Nagar,2,1070.0,2.0,2.0,210000.0,196.26168224299064
190,7th Phase JP Nagar,2,1080.0,2.0,2.0,375000.0,347.22222222222223
191,7th Phase JP Nagar,3,1415.0,3.0,1.0,325000.0,229.68197879858658
192,7th Phase JP Nagar,3,1680.0,3.0,3.0,625000.0,372.0238095238095
193,7th Phase JP Nagar,2,1040.0,2.0,1.0,207950.00000000003,199.9519230769231
194,7th Phase JP Nagar,2,1100.0,2.0,1.0,220000.0,200.0
195,7th Phase JP Nagar,3,1460.0,2.0,1.0,485000.0,332.1917808219178
196,7th Phase JP Nagar,2,1120.0,2.0,2.0,325000.0,290.17857142857144
197,7th Phase JP Nagar,2,1100.0,3.0,1.0,300000.0,272.72727272727275
198,7th Phase JP Nagar,3,1790.0,3.0,3.0,600000.0,335.195530726257
199,7th Phase JP Nagar,3,1680.0,3.0,2.0,585000.0,348.2142857142857
200,7th Phase JP Nagar,2,1050.0,2.0,1.0,385000.0,366.6666666666667
201,7th Phase JP Nagar,2,1174.0,2.0,1.0,235000.0,200.1703577512777
202,7th Phase JP Nagar,2,1050.0,2.0,1.0,375000.0,357.14285714285717
203,7th Phase JP Nagar,2,1040.0,2.0,1.0,375000.0,360.5769230769231
204,7th Phase JP Nagar,3,1400.0,2.0,1.0,475000.0,339.2857142857143
205,7th Phase JP Nagar,3,1800.0,3.0,2.0,650000.0,361.1111111111111
206,7th Phase JP Nagar,2,1050.0,2.0,0.0,340000.0,323.8095238095238
207,7th Phase JP Nagar,3,1400.0,2.0,2.0,285000.0,203.57142857142858
208,7th Phase JP Nagar,2,1000.0,2.0,2.0,300000.0,300.0
209,7th Phase JP Nagar,3,1680.0,3.0,2.0,625000.0,372.0238095238095
210,7th Phase JP Nagar,2,980.0,2.0,1.0,430000.0,438.7755102040816
211,7th Phase JP Nagar,3,1370.0,2.0,2.0,273950.0,199.96350364963504
212,7th Phase JP Nagar,2,1050.0,2.0,1.0,387350.0,368.9047619047619
213,7th Phase JP Nagar,2,1270.0,2.0,1.0,400000.0,314.96062992125985
214,7th Phase JP Nagar,3,1463.0,2.0,1.0,307250.0,210.01367053998632
215,7th Phase JP Nagar,3,1680.0,3.0,2.0,610000.0,363.0952380952381
216,7th Phase JP Nagar,2,1070.0,2.0,1.0,213950.0,199.9532710280374
217,7th Phase JP Nagar,2,1130.0,2.0,2.0,425000.0,376.1061946902655
218,7th Phase JP Nagar,3,1680.0,3.0,3.0,650000.0,386.9047619047619
219,7th Phase JP Nagar,3,1300.0,2.0,2.0,260000.0,200.0
220,7th Phase JP Nagar,3,2980.0,4.0,2.0,1300000.0,436.241610738255
221,7th Phase JP Nagar,2,980.0,2.0,1.0,387200.0,395.1020408163265
222,7th Phase JP Nagar,3,1680.0,3.0,2.0,560000.0,333.3333333333333
223,7th Phase JP Nagar,3,1515.0,2.0,1.0,380000.0,250.82508250825083
224,7th Phase JP Nagar,3,2095.0,3.0,2.0,750000.0,357.99522673031026
225,7th Phase JP Nagar,3,1370.0,2.0,1.0,273950.0,199.96350364963504
226,7th Phase JP Nagar,3,1976.0,3.0,1.0,725000.0,366.90283400809716
227,7th Phase JP Nagar,3,1600.0,2.0,2.0,550000.0,343.75
228,7th Phase JP Nagar,3,1765.0,3.0,2.0,590000.0,334.2776203966006
229,7th Phase JP Nagar,3,1275.0,2.0,2.0,440000.0,345.0980392156863
230,7th Phase JP Nagar,3,1450.0,2.0,1.0,510000.0,351.7241379310345
231,7th Phase JP Nagar,3,1575.0,2.0,2.0,550000.0,349.2063492063492
232,7th Phase JP Nagar,3,1075.0,2.0,1.0,285000.0,265.1162790697674
233,7th Phase JP Nagar,1,750.0,1.0,2.0,235000.0,313.3333333333333
234,7th Phase JP Nagar,2,1050.0,2.0,1.0,210000.0,200.0
235,7th Phase JP Nagar,2,990.0,2.0,2.0,250000.0,252.5252525252525
236,7th Phase JP Nagar,1,1000.0,1.0,1.0,300000.0,300.0
237,7th Phase JP Nagar,3,1680.0,2.0,3.0,460000.0,273.8095238095238
238,7th Phase JP Nagar,2,1100.0,2.0,1.0,220000.0,200.0
239,7th Phase JP Nagar,3,1430.0,2.0,1.0,510000.0,356.64335664335664
240,7th Phase JP Nagar,2,1128.0,2.0,1.0,300000.0,265.9574468085106
241,7th Phase JP Nagar,3,2100.0,3.0,2.0,950000.0,452.3809523809524
242,7th Phase JP Nagar,2,1140.0,2.0,1.0,285000.0,250.0
243,7th Phase JP Nagar,3,1420.0,3.0,2.0,450000.0,316.90140845070425
244,7th Phase JP Nagar,2,1530.0,2.0,1.0,540000.0,352.94117647058823
245,8th Phase JP Nagar,2,1073.5,2.0,0.0,270025.0,251.5370284117373
246,8th Phase JP Nagar,1,451.0,1.0,0.0,149500.0,331.4855875831486
247,8th Phase JP Nagar,3,1240.0,3.0,2.0,217500.0,175.40322580645162
248,8th Phase JP Nagar,2,1062.0,2.0,1.0,212350.0,199.95291902071563
249,8th Phase JP Nagar,3,1230.0,2.0,2.0,217500.0,176.82926829268294
250,8th Phase JP Nagar,3,1455.0,3.0,2.0,366550.0,251.92439862542955
251,8th Phase JP Nagar,2,871.0,2.0,2.0,275000.0,315.7290470723307
252,8th Phase JP Nagar,2,1098.0,2.0,1.0,219549.99999999997,199.95446265938065
253,8th Phase JP Nagar,3,1800.0,3.0,1.0,400000.0,222.22222222222223
254,8th Phase JP Nagar,4,2700.0,4.0,2.0,650000.0,240.74074074074073
255,8th Phase JP Nagar,2,1080.0,2.0,2.0,190000.0,175.92592592592592
256,8th Phase JP Nagar,2,1059.0,2.0,2.0,172500.0,162.88951841359773
257,8th Phase JP Nagar,2,1080.0,2.0,2.0,175000.0,162.03703703703704
258,8th Phase JP Nagar,3,1275.0,2.0,2.0,207500.0,162.7450980392157
259,8th Phase JP Nagar,2,1062.0,2.0,1.0,212350.0,199.95291902071563
260,8th Phase JP Nagar,1,500.0,1.0,1.0,155000.0,310.0
261,8th Phase JP Nagar,2,1100.0,2.0,2.0,175000.0,159.0909090909091
262,8th Phase JP Nagar,4,2100.0,4.0,3.0,460000.0,219.04761904761904
263,8th Phase JP Nagar,2,1035.0,2.0,1.0,196650.0,190.0
264,8th Phase JP Nagar,2,909.0,2.0,1.0,204500.0,224.97249724972497
265,8th Phase JP Nagar,3,1431.5,3.0,0.0,360100.0,251.55431365700315
266,8th Phase JP Nagar,3,1900.0,4.0,1.0,450000.0,236.8421052631579
267,8th Phase JP Nagar,1,500.0,1.0,1.0,150000.0,300.0
268,8th Phase JP Nagar,2,1125.0,2.0,2.0,184700.0,164.17777777777778
269,8th Phase JP Nagar,4,1200.0,3.0,2.0,550000.0,458.3333333333333
270,8th Phase JP Nagar,2,1100.0,2.0,3.0,175000.0,159.0909090909091
271,8th Phase JP Nagar,2,1089.0,2.0,1.0,217750.0,199.95408631772267
272,8th Phase JP Nagar,3,1605.0,2.0,2.0,325000.0,202.49221183800623
273,8th Phase JP Nagar,3,1504.0,2.0,2.0,415000.0,275.9308510638298
274,8th Phase JP Nagar,4,2600.0,4.0,2.0,575000.0,221.15384615384616
275,8th Phase JP Nagar,3,1368.0,2.0,1.0,273550.0,199.96345029239765
276,8th Phase JP Nagar,2,1089.0,2.0,1.0,217750.0,199.95408631772267
277,8th Phase JP Nagar,3,1224.0,2.0,2.0,244750.0,199.95915032679738
278,8th Phase JP Nagar,2,1513.0,2.0,3.0,310000.0,204.89094514210177
279,8th Phase JP Nagar,2,1298.0,2.0,1.0,295000.0,227.27272727272728
280,8th Phase JP Nagar,2,1006.0,2.0,0.0,220000.0,218.68787276341948
281,8th Phase JP Nagar,1,500.0,1.0,1.0,165000.0,330.0
282,8th Phase JP Nagar,2,1160.0,2.0,1.0,475000.0,409.48275862068965
283,8th Phase JP Nagar,2,1245.0,2.0,1.0,295000.0,236.94779116465864
284,8th Phase JP Nagar,2,1510.0,2.0,3.0,400000.0,264.9006622516556
285,8th Phase JP Nagar,3,3300.0,3.0,2.0,825000.0,250.0
286,8th Phase JP Nagar,5,1730.0,5.0,2.0,375000.0,216.76300578034682
287,8th Phase JP Nagar,3,1296.0,2.0,2.0,259150.0,199.96141975308643
288,8th Phase JP Nagar,3,1275.0,3.0,2.0,225000.0,176.47058823529412
289,8th Phase JP Nagar,2,1046.0,2.0,1.0,240000.0,229.44550669216062
290,8th Phase JP Nagar,3,1269.0,2.0,3.0,253750.0,199.9605988967691
291,8th Phase JP Nagar,3,1408.0,3.0,2.0,400000.0,284.09090909090907
292,8th Phase JP Nagar,3,1500.0,2.0,3.0,275000.0,183.33333333333334
293,9th Phase JP Nagar,2,1005.0,2.0,1.0,250000.0,248.75621890547265
294,9th Phase JP Nagar,3,1890.0,2.0,2.0,425000.0,224.86772486772486
295,9th Phase JP Nagar,2,1100.0,2.0,1.0,325000.0,295.45454545454544
296,9th Phase JP Nagar,2,1080.0,2.0,2.0,185000.0,171.2962962962963
297,9th Phase JP Nagar,2,1035.0,2.0,1.0,225000.0,217.3913043478261
298,9th Phase JP Nagar,4,5000.0,4.0,3.0,1450000.0,290.0
299,9th Phase JP Nagar,2,1164.0,2.0,1.0,280000.0,240.54982817869416
300,9th Phase JP Nagar,2,1005.0,2.0,1.0,210000.0,208.955223880597
301,9th Phase JP Nagar,4,3500.0,4.0,1.0,1500000.0,428.57142857142856
302,9th Phase JP Nagar,2,1127.0,2.0,1.0,250000.0,221.82786157941436
303,9th Phase JP Nagar,2,1005.0,2.0,1.0,215000.0,213.93034825870646
304,9th Phase JP Nagar,2,835.0,2.0,0.0,185000.0,221.5568862275449
305,9th Phase JP Nagar,2,1050.0,2.0,2.0,195000.0,185.71428571428572
306,9th Phase JP Nagar,2,660.0,2.0,0.0,135000.0,204.54545454545453
307,9th Phase JP Nagar,1,600.0,1.0,0.0,100000.0,166.66666666666666
308,9th Phase JP Nagar,2,1466.0,2.0,2.0,355000.0,242.15552523874487
309,9th Phase JP Nagar,3,1890.0,2.0,1.0,465000.0,246.03174603174602
310,9th Phase JP Nagar,2,1079.0,2.0,1.0,300000.0,278.0352177942539
311,9th Phase JP Nagar,2,1480.0,2.0,1.0,400000.0,270.27027027027026
312,9th Phase JP Nagar,2,1200.0,2.0,0.0,400000.0,333.3333333333333
313,9th Phase JP Nagar,2,905.0,2.0,1.0,160000.0,176.79558011049724
314,9th Phase JP Nagar,2,1073.0,2.0,1.0,261800.0,243.9888164026095
315,9th Phase JP Nagar,3,1719.3,2.0,2.0,440000.0,255.91810620601407
316,9th Phase JP Nagar,3,1780.0,3.0,2.0,440000.0,247.19101123595505
317,9th Phase JP Nagar,3,1300.0,2.0,2.0,290000.0,223.07692307692307
318,9th Phase JP Nagar,3,1522.0,3.0,2.0,450000.0,295.6636005256242
319,9th Phase JP Nagar,3,1571.0,3.0,2.0,325000.0,206.87460216422662
320,9th Phase JP Nagar,4,1900.0,4.0,2.0,400000.0,210.52631578947367
321,9th Phase JP Nagar,2,890.0,2.0,2.0,225000.0,252.80898876404495
322,9th Phase JP Nagar,3,1240.0,2.0,2.0,199450.0,160.84677419354838
323,9th Phase JP Nagar,4,5000.0,4.0,1.0,1500000.0,300.0
324,9th Phase JP Nagar,3,1240.0,2.0,2.0,214250.0,172.78225806451613
325,9th Phase JP Nagar,2,1050.0,2.0,2.0,175000.0,166.66666666666666
326,9th Phase JP Nagar,2,1331.95,2.0,2.0,345000.0,259.0187319343819
327,AECS Layout,2,1100.0,2.0,3.0,225000.0,204.54545454545453
328,AECS Layout,2,1028.0,2.0,1.0,210000.0,204.28015564202335
329,AECS Layout,2,1199.0,2.0,2.0,325000.0,271.05921601334444
330,AECS Layout,2,1080.0,2.0,2.0,275000.0,254.62962962962962
331,AECS Layout,2,1123.0,2.0,2.0,320000.0,284.95102404274263
332,AECS Layout,2,1308.0,2.0,1.0,300000.0,229.3577981651376
333,AECS Layout,2,1005.0,2.0,1.0,275000.0,273.6318407960199
334,AECS Layout,3,2000.0,3.0,1.0,450000.0,225.0
335,Abbigere,2,985.0,2.0,1.0,201950.0,205.0253807106599
336,Abbigere,6,2200.0,6.0,2.0,340000.0,154.54545454545453
337,Abbigere,1,765.0,2.0,2.0,150000.0,196.07843137254903
338,Abbigere,2,880.0,2.0,1.0,175000.0,198.86363636363637
339,Abbigere,2,795.0,2.0,1.0,162700.0,204.65408805031447
340,Abbigere,2,1005.0,2.0,1.0,197950.00000000003,196.96517412935327
341,Abbigere,1,734.0,1.0,0.0,99100.0,135.01362397820162
342,Abbigere,3,1260.0,2.0,1.0,225000.0,178.57142857142858
343,Abbigere,2,1020.0,2.0,1.0,209100.0,205.0
344,Abbigere,2,985.0,2.0,1.0,201950.0,205.0253807106599
345,Abbigere,6,2500.0,6.0,0.0,405000.0,162.0
346,Abbigere,2,795.0,2.0,1.0,162700.0,204.65408805031447
347,Abbigere,2,1130.0,2.0,1.0,231650.0,205.0
348,Abbigere,2,795.0,1.0,1.0,163000.0,205.0314465408805
349,Abbigere,8,3000.0,8.0,0.0,750000.0,250.0
350,Abbigere,2,985.0,2.0,1.0,194600.0,197.56345177664974
351,Abbigere,2,1000.0,2.0,1.0,205000.0,205.0
352,Abbigere,2,995.0,2.0,1.0,204000.0,205.0251256281407
353,Abbigere,2,1020.0,2.0,1.0,204000.0,200.0
354,Akshaya Nagar,2,1388.0,2.0,3.0,285000.0,205.3314121037464
355,Akshaya Nagar,2,1070.0,2.0,1.0,270000.0,252.33644859813083
356,Akshaya Nagar,2,1280.0,2.0,1.0,290000.0,226.5625
357,Akshaya Nagar,3,1662.0,3.0,3.0,425500.0,256.01684717208184
358,Akshaya Nagar,3,1897.0,3.0,2.0,600000.0,316.288877174486
